Epoch,Train_Loss,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1
1,1.1491388424498137,0.6363636363636364,0.3888888888888889,0.5,0.4285714285714286
2,0.7603499361726104,0.7272727272727273,0.7157563025210085,0.6928571428571428,0.6960470085470085
3,0.42608918616029084,0.7878787878787878,0.7916666666666667,0.8119047619047619,0.8000447828034035
4,0.18760825391309183,0.7575757575757576,0.819327731092437,0.7571428571428571,0.7541666666666668
5,0.07508345891828419,0.6666666666666666,0.6984848484848485,0.7261904761904763,0.691025641025641
6,0.04532422939865071,0.7878787878787878,0.7833333333333333,0.7928571428571429,0.7856643356643357
7,0.01699498172879952,0.696969696969697,0.7034188034188035,0.7238095238095238,0.6964285714285714
8,0.008269743371724349,0.7575757575757576,0.7559523809523809,0.7761904761904761,0.7601679929266136
9,0.005838732674076664,0.7878787878787878,0.782967032967033,0.8119047619047619,0.7916666666666666
10,0.004641262833487059,0.7878787878787878,0.782967032967033,0.8119047619047619,0.7916666666666666
